iso3_d,sector,trade_value,predicted,gap,ratio,gdp_d
GBR,Agriculture & alimentation,579613555.1135,908210724.3223704,328597169.2088704,1.5669245764007786,2530160235695.433
GEO,Agriculture & alimentation,10730546.8465,17960690.596673973,7230143.750173973,1.673790800562251,11014451748.02854
GHA,Agriculture & alimentation,191005566.31074998,46438800.1785127,-144566766.1322373,0.24312799399238805,31720361284.931545
GIN,Agriculture & alimentation,1300004.9855,11762154.4714255,10462149.4859255,9.047776433643147,6319630585.273155
GMB,Agriculture & alimentation,791857.2203333332,2267394.5255305637,1475537.3051972305,2.863388079704699,1201431426.885402
GNQ,Agriculture & alimentation,3884437.403,11376942.315026676,7492504.912026676,2.928852015027999,12160148834.519697
GRC,Agriculture & alimentation,45085791.2735,141651496.8571176,96565705.5836176,3.141821244698346,237332329334.94003
GRD,Agriculture & alimentation,4781158.9385,1169937.393256808,-3611221.5452431925,0.2446974485277944,789267629.6296299
GTM,Agriculture & alimentation,36159945.88825,39328450.65897127,3168504.7707212716,1.0876247099626015,42712790935.52229
HKG,Agriculture & alimentation,830889085.91975,152284020.5174977,-678605065.4022523,0.18327839792109843,236815011643.94193
HND,Agriculture & alimentation,5595646.50425,16447223.516100569,10851577.01185057,2.939289232014315,14774507531.168861
HRV,Agriculture & alimentation,8843718.3515,44948774.96061227,36105056.60911226,5.082565180627718,49931617150.77174
HTI,Agriculture & alimentation,37074474.514,7500082.951651775,-29574391.562348224,0.202297754721233,6297876005.777707
HUN,Agriculture & alimentation,7864442.07875,99964083.32797591,92099641.24922591,12.710893198397683,118055660866.39555
IDN,Agriculture & alimentation,969412776.27,796579261.3203324,-172833514.94966757,0.8217131863944713,598147522476.3346
IND,Agriculture & alimentation,902630369.37725,1960088809.2548752,1057458439.8776252,2.1715298706459385,1436364681977.5505
IRL,Agriculture & alimentation,99568871.56525001,87963704.49047993,-11605167.074770078,0.883445831088234,232162097674.95697
IRN,Agriculture & alimentation,287000553.58625,408319287.4877123,121318733.90146232,1.4227125431833125,344534721003.3674
IRQ,Agriculture & alimentation,81194523.276,183422308.05564517,102227784.77964517,2.259047786168385,151164645688.28207
ISL,Agriculture & alimentation,46313064.7135,8656342.62992964,-37656722.08357036,0.18690930266608688,16008018592.843403
ISR,Agriculture & alimentation,48079713.04575,396316371.2533556,348236658.2076056,8.242902175315457,223326660613.80545
ITA,Agriculture & alimentation,752316110.5899999,830648464.2729739,78332353.68297398,1.1041215954042807,1901610632648.8
JAM,Agriculture & alimentation,63911887.22375,8642010.980168318,-55269876.24358168,0.13521758401396258,12552978795.89915
JOR,Agriculture & alimentation,13070366.660500001,28657181.754931983,15586815.094431981,2.1925308217662285,24163766903.15655
JPN,Agriculture & alimentation,5605969379.84025,2830147802.9820786,-2775821576.8581715,0.5048453909077055,4939560442460.044
KAZ,Agriculture & alimentation,5116677.395,130385843.21980049,125269165.82480049,25.48252179182004,121333128361.47089
KEN,Agriculture & alimentation,47429318.49625,73957921.87838805,26528603.382138044,1.5593292128841263,40423708289.42675
KGZ,Agriculture & alimentation,222102.42866666664,11214834.739862777,10992732.311196111,50.493976167609155,4697127557.68083
KHM,Agriculture & alimentation,1193998.2335,24850949.78234081,23656951.54884081,20.81322156524012,11573241535.360514
KOR,Agriculture & alimentation,904437142.904,636898561.3210646,-267538581.58293545,0.704193283433813,1066859287447.412
KWT,Agriculture & alimentation,46353691.882249996,65702890.629055336,19349198.74680534,1.4174251922793368,107055218638.69104
LAO,Agriculture & alimentation,175207.01933333333,14905759.953079814,14730552.933746481,85.07513003643672,7769370123.947354
LBN,Agriculture & alimentation,29061993.574249998,32258081.423660144,3196087.8494101465,1.1099748316041884,34607492062.86811
LBR,Agriculture & alimentation,1743297.4255,4216219.116120898,2472921.6906208983,2.4185311435950942,1979962157.8947368
LCA,Agriculture & alimentation,6232929.7905,1610691.1819786965,-4622238.608521303,0.258416384608351,1299811532.163742
LKA,Agriculture & alimentation,307894599.55,74129597.10183975,-233765002.44816026,0.24076290136359343,49475265502.782616
LSO,Agriculture & alimentation,60970.051999999996,4668011.919252385,4607041.867252385,76.56237392174745,1937001313.7111933
LTU,Agriculture & alimentation,12522567.943500001,31781426.914256953,19258858.97075695,2.537932080516561,34977712608.579956
LUX,Agriculture & alimentation,225342.2725,22584356.82475197,22359014.55225197,100.22245970183855,48386731059.137184
LVA,Agriculture & alimentation,2462137.07925,21669402.094896995,19207265.015646994,8.801054286342898,23386491679.125874
MAC,Agriculture & alimentation,12099988.75225,21906238.748671178,9806249.996421177,1.810434637354328,28347347035.955383
MAR,Agriculture & alimentation,388382463.3065,80765306.09635676,-307617157.21014327,0.20795301983709588,82608476197.29503
MDA,Agriculture & alimentation,930267.6175,10751145.196917916,9820877.579417916,11.557045515365276,5859877194.993573
MDG,Agriculture & alimentation,344078.398,24403357.291120946,24059278.89312095,70.92382850236633,8964509634.5584
MDV,Agriculture & alimentation,31933.353499999997,4575596.616792568,4543663.263292568,143.28581609171013,2509866097.417894
MEX,Agriculture & alimentation,2130786289.47325,1653540295.7001514,-477245993.77309847,0.7760235289053422,1016799065264.309
MLI,Agriculture & alimentation,2085504.1009999998,17259905.84972925,15174401.748729251,8.27613133987755,9735939400.543306
MLT,Agriculture & alimentation,1248099.84375,7773028.397078123,6524928.553328123,6.227889888779679,8515941255.10033
MMR,Agriculture & alimentation,39473449.535500005,93098834.51241371,53625384.976913705,2.3585178292737328,37615002449.36255
MNE,Agriculture & alimentation,5568892.364666666,5989450.649471478,420558.2848048117,1.0755191979419745,4284671224.960663
MNG,Agriculture & alimentation,110260.74825,11736004.52876604,11625743.78051604,106.43864398739956,6836734464.351098
MOZ,Agriculture & alimentation,38416748.45575,36079998.401329055,-2336750.054420948,0.9391736638744294,11327659317.685528
MUS,Agriculture & alimentation,4966279.431500001,12491881.259534612,7525601.828034611,2.5153399907990277,9306781427.429026
MWI,Agriculture & alimentation,17354126.485666666,17958071.916867983,603945.4312013164,1.034801257885272,4998581620.827437
MYS,Agriculture & alimentation,228994130.36525,228278250.3916207,-715879.9736292958,0.9968738064487179,224427209064.9613
NAM,Agriculture & alimentation,3872748.642333334,13035026.18662798,9162277.544294646,3.3658332596495,9272391019.900103
NER,Agriculture & alimentation,607280.8715,12298308.590334231,11691027.71883423,20.251434167450522,5311500817.432625
NGA,Agriculture & alimentation,329934483.355,356281936.751422,26347453.39642197,1.079856622225428,304511888970.06757
NIC,Agriculture & alimentation,6872946.03825,8824064.177462908,1951118.1392129073,1.2838838146486748,8889334191.781103
NLD,Agriculture & alimentation,465332085.76375,366206213.9593656,-99125871.80438441,0.7869782144042592,752052767321.7959
NPL,Agriculture & alimentation,79037165.96599999,31614833.00014012,-47422332.965859875,0.3999995775878415,14416644082.806616
NZL,Agriculture & alimentation,69066922.67975,100821962.5382286,31755039.858478606,1.459772038863243,138893598814.50385
OMN,Agriculture & alimentation,22566437.99025,42660291.097056195,20093853.106806196,1.8904308741808475,51212853329.68311
PAK,Agriculture & alimentation,655855367.457,273659221.3783723,-382196146.0786277,0.4172554422165559,178750333109.22968
PAN,Agriculture & alimentation,36199017.15775,19766575.278909516,-16432441.878840487,0.5460528166488522,32318856331.57895
PER,Agriculture & alimentation,515797336.18825,136552360.48865846,-379244975.6995915,0.26474033677215636,132682025737.53189
PHL,Agriculture & alimentation,298219057.83025,262536625.7387527,-35682432.09149733,0.8803482502053634,189660303192.66888
POL,Agriculture & alimentation,40161376.05975,318867252.3090009,278705876.2492509,7.939649573625338,406677642697.9287
PRT,Agriculture & alimentation,162020334.7495,133811813.19320033,-28208521.55629967,0.8258951779113842,205359344650.49246
PRY,Agriculture & alimentation,387231.56475,32862137.392532364,32474905.827782363,84.86430442143434,23979335820.93599
QAT,Agriculture & alimentation,17654158.153,57835716.58963251,40181558.436632514,3.276039338064069,108661541282.5332
ROU,Agriculture & alimentation,19517049.798,144009303.07969424,124492253.28169423,7.378640961117572,145739351714.37265
RUS,Agriculture & alimentation,139952317.82325,1029994654.0595938,890042336.2363439,7.359611259603468,1257722978264.4758
RWA,Agriculture & alimentation,5150087.262999999,12738805.250288883,7588717.987288884,2.473512505663515,5263961198.003878
SAU,Agriculture & alimentation,174378688.3995,413133374.295015,238754685.89551497,2.36917353884742,490566252148.79987
SDN,Agriculture & alimentation,68673169.5,78254603.10687736,9581433.606877357,1.1395222279186832,52988404695.579956
SEN,Agriculture & alimentation,18769329.752499998,20810905.837053042,2041576.0845530443,1.1087719226777992,14774400983.002113
SGP,Agriculture & alimentation,108384066.448,144186492.05391914,35802425.60591914,1.3303292336156833,215870703947.69073
SLE,Agriculture & alimentation,3424524.424,5809276.24124646,2384751.81724646,1.6963745974575242,2707559937.04345
SLV,Agriculture & alimentation,8746025.616,18157983.008478384,9411957.392478384,2.076141073181872,18435658073.68421
SRB,Agriculture & alimentation,4314711.472666667,48406827.961035416,44092116.48836875,11.21901852944017,44448472088.17391
SUR,Agriculture & alimentation,7469835.1195,3275085.346337375,-4194749.773162625,0.4384414507072274,3114133438.982385
SVK,Agriculture & alimentation,1276410.47375,63610490.59107215,62334080.11732215,49.835450193533134,77442187428.80673
SVN,Agriculture & alimentation,2089500.20875,32407584.647092484,30318084.438342486,15.509730274915668,41742198253.1651
SWE,Agriculture & alimentation,28250385.6295,226495255.3298468,198244869.7003468,8.017421719487356,454261944284.79596
SWZ,Agriculture & alimentation,1675008.20975,6103551.120996855,4428542.911246855,3.6438932570413067,3512144077.329817
SYC,Agriculture & alimentation,453286.03733333334,2543030.41284496,2089744.3755116267,5.610211220723945,1048888890.8118633
SYR,Agriculture & alimentation,19706847.9035,38857710.33558953,19150862.43208953,1.9717871942721128,26439983632.0783
TCA,Agriculture & alimentation,555218.935,914296.6188898286,359077.6838898285,1.6467316967311796,710301865.5555556
TCD,Agriculture & alimentation,420186.47925,16322579.31751927,15902392.83826927,38.84603651848531,8362445921.23549
TGO,Agriculture & alimentation,14003758.8615,7101987.933021523,-6901770.9284784775,0.5071486879531143,3258747871.559607
THA,Agriculture & alimentation,201697824.9585,333949408.34698176,132251583.38848177,1.655691668542747,298123706892.40063
TJK,Agriculture & alimentation,3516256.1459999997,12672543.034382468,9156286.888382468,3.6039874537577186,4875991421.339799
TKM,Agriculture & alimentation,74942.0,31256128.91338389,31181186.91338389,417.07092035686117,21821979294.570087
TTO,Agriculture & alimentation,62349286.85325,11389714.82375836,-50959572.02949163,0.1826759438414437,19762073024.33768
TUN,Agriculture & alimentation,99779193.2525,38205461.64891127,-61573731.60358873,0.3829000857145537,37507292208.633194
TUR,Agriculture & alimentation,480532989.829,574556383.7892376,94023393.96023762,1.195664805435515,646191406607.6942
TZA,Agriculture & alimentation,20679110.380000003,64893089.462453574,44213979.08245357,3.1380987029894447,31545069334.02875
UGA,Agriculture & alimentation,4514861.85925,37635788.34284359,33120926.48359359,8.335977825265196,16642504225.369423
UKR,Agriculture & alimentation,68043047.85049999,146113855.11334917,78070807.26284918,2.1473737542501268,109414863742.39967
URY,Agriculture & alimentation,6437651.67175,39084291.31759356,32646639.645843558,6.07120318253705,35882466489.439926
USA,Agriculture & alimentation,31959452418.723747,31959452418.72608,0.0023345947265625,1.000000000000073,14942205598786.13
UZB,Agriculture & alimentation,587176.7415,73561871.06521478,72974694.32371478,125.28062824371047,39998400658.82679
VCT,Agriculture & alimentation,3061069.5157500003,1003641.4967068802,-2057428.01904312,0.32787282077159086,638996871.3450292
VEN,Agriculture & alimentation,315366101.88325,169269229.0250499,-146096872.8582001,0.5367388188338459,245228688291.0486
VNM,Agriculture & alimentation,364855868.83825,188152588.16946873,-176703280.66878125,0.5156901786137408,116983957985.87148
YEM,Agriculture & alimentation,11268506.087000001,55175121.52864106,43906615.44164106,4.89640073871853,25019335070.276066
ZAF,Agriculture & alimentation,117001803.23975,315718847.4142903,198717044.1745403,2.698410098580673,285599691793.8259
ZMB,Agriculture & alimentation,1441248.035,30873197.848531187,29431949.813531186,21.421155206314776,16347802735.99345
ZWE,Agriculture & alimentation,3642727.373333333,26562916.296484206,22920188.923150875,7.2920407085467405,12530815792.805485
ABW,Haute technologie,515577.4175,195333.2416630704,-320244.1758369296,0.37886306698657995,2408022346.3687153
AGO,Haute technologie,1094273.63,5543402.322101618,4449128.692101618,5.065828299363861,75759819666.1806
ALB,Haute technologie,716971.06825,772676.9014669295,55705.83321692946,1.077696068479998,10085038493.29173
ARE,Haute technologie,48245539.688999996,25151039.941202633,-23094499.747797363,0.5213132675752217,270245095661.70395
ARG,Haute technologie,11689673.04975,29560827.65171454,17871154.60196454,2.5287984981193925,381536564931.1844
ARM,Haute technologie,201581.1125,628363.4361040818,426782.3236040818,3.117174165332984,7968629470.558138
ATG,Haute technologie,1629463.8514999999,91960.14104430143,-1537503.7104556984,0.05643582762492565,1161753317.7387917
AUS,Haute technologie,102225861.10025,92724107.6808864,-9501753.419363603,0.9070513731349692,999935673975.1365
AUT,Haute technologie,24114621.34225,26591762.20638358,2477140.864133578,1.102723606105044,357650712668.49567
AZE,Haute technologie,2274644.4275,2782583.4497634326,507939.0222634324,1.2233048014549222,37383666813.82969
BDI,Haute technologie,19060.5,155104.11460256376,136043.61460256376,8.137463057242137,1865499911.1818137
BEL,Haute technologie,19741057.4695,34583747.62277285,14842690.153272849,1.7518690514023807,432435600495.06464
BEN,Haute technologie,136592.9185,731657.4912279123,595064.5727279122,5.356481867893556,9020981128.866022
BFA,Haute technologie,913047.9335,621427.7120068443,-291620.2214931557,0.6806079825674829,8179832248.420903
BGD,Haute technologie,2265835.57725,8738845.914752975,6473010.337502975,3.856787316120766,123301419818.60979
BGR,Haute technologie,1446320.4685,3111529.8125609346,1665209.3440609346,2.151341891598857,42421841206.463554
BHR,Haute technologie,3437411.9235,2397849.205669977,-1039562.7178300233,0.6975740059772841,23391132418.812992
BHS,Haute technologie,5309522.3685,787124.7469295748,-4522397.621570425,0.14824775041901678,10260994736.842106
BIH,Haute technologie,79410.86975,1086523.860074514,1007112.9903245141,13.682306509110035,14453528289.480524
BLR,Haute technologie,598853.5255,3199329.680514207,2600476.155014207,5.342424389742041,45404071898.603806
BLZ,Haute technologie,120964.812,104693.14605917029,-16271.665940829713,0.8654843034780254,1358974311.5329888
BMU,Haute technologie,11023172.073,372054.5472271604,-10651117.52577284,0.033752040226103834,5019241357.142858
BOL,Haute technologie,2455997.084,1430092.394344561,-1025904.6896554388,0.5822858681963163,20448763327.7884
BRA,Haute technologie,62365365.484,105726229.66809754,43360864.18409754,1.6952715477186113,1551309532604.0544
BRB,Haute technologie,2797316.17575,356452.320224673,-2440863.855525327,0.12742653952197702,4268847739.4736843
BRN,Haute technologie,258969.87975,1278555.7871689554,1019585.9074189555,4.937082985879385,11934240457.243765
BTN,Haute technologie,111423.782,119023.89273371322,7600.1107337132125,1.0682090537342666,1359193334.2080288
BWA,Haute technologie,503698.052,1202511.1470219865,698813.0950219865,2.3873650935262827,11939049404.56853
CAF,Haute technologie,20088.033666666666,145536.03476535343,125448.00109868676,7.244911930173161,1698018532.5067275
CHE,Haute technologie,22491926.48325,44608803.689143986,22116877.205893986,1.9833251599130328,531573719567.058
CHL,Haute technologie,16230853.709999999,30765735.84626751,14534882.136267511,1.8955094042473206,186520668503.99927
CHN,Haute technologie,575224104.0055001,338677562.60644484,-236546541.39905524,0.5887749839551344,6105596782661.062
CIV,Haute technologie,496530.34774999996,1865340.0612046483,1368809.7134546484,3.756749350079677,24367132737.72696
CMR,Haute technologie,382457.02975,1931451.2577985914,1548994.2280485914,5.0501131043691885,24479978586.218536
COD,Haute technologie,349029.73175,1701507.219613873,1352477.487863873,4.874963548471034,23246287843.97752
COG,Haute technologie,1052349.2535,788895.7457347495,-263453.50776525063,0.7496520219983692,8777520664.331556
COL,Haute technologie,22858972.14725,13858588.27166152,-9000383.87558848,0.6062647166455709,235122183827.9623
COM,Haute technologie,2663.4804999999997,83628.62205399224,80965.14155399223,31.398248289781826,827871605.0607958
CPV,Haute technologie,137168.14625,109211.32473863136,-27956.82151136863,0.796185759772425,1397119834.297498
CRI,Haute technologie,8731489.7285,2675609.7470299946,-6055879.981470005,0.30643221606236065,35269938042.35277
CYM,Haute technologie,3162745.239,338213.98163439374,-2824531.2573656063,0.1069368400160269,4325433088.092754
CYP,Haute technologie,757620.82225,2059540.9005102357,1301920.0782602357,2.718432281723413,20711209764.183365
CZE,Haute technologie,8008013.59925,12248033.376190834,4240019.776940834,1.5294720999647076,171359283571.63364
DEU,Haute technologie,207071384.10775,200140226.48744094,-6931157.620309055,0.9665276897135028,3177090624728.19
DJI,Haute technologie,213073.04025,135803.98028808815,-77269.05996191184,0.6373588142767778,1375988878.9000144
DMA,Haute technologie,182054.97400000002,35107.125889906914,-146947.8481100931,0.19283804841227195,448819590.6432748
DNK,Haute technologie,24109691.2015,24424631.106021576,314939.90452157706,1.0130627929611136,289949432179.00183
DOM,Haute technologie,3578427.07925,3063834.054149477,-514593.02510052314,0.8561957492205272,50054938065.53021
DZA,Haute technologie,14960338.07925,10080389.686591938,-4879948.392658062,0.6738076127152131,139152909211.0884
ECU,Haute technologie,5266712.842,4278631.145055217,-988081.6969447834,0.8123911960672673,65763333783.28638
EGY,Haute technologie,11340407.23175,13589018.209188862,2248610.9774388615,1.1982830890890208,189832041914.84985
ESP,Haute technologie,37214416.47275,78518234.75419877,41303818.281448774,2.1098875703638456,1210617438790.3096
EST,Haute technologie,1727667.9115000002,1538237.4154765946,-189430.49602340558,0.8903547986493899,19047744509.813984
ETH,Haute technologie,2006633.79275,2512574.434945655,505940.64219565503,1.2521340186852363,34917528398.321526
FIN,Haute technologie,16439279.59525,17086434.77996136,647155.1847113594,1.0393663956477965,226995950268.8887
FJI,Haute technologie,179200.36125000002,353829.4472233804,174629.08597338037,1.974490702782444,3503986725.6381316
FRA,Haute technologie,166591955.5715,170061620.53954914,3469664.968049139,1.020827326002305,2373376999021.079
GAB,Haute technologie,475371.41525,1205706.6410019791,730335.225751979,2.5363465330953745,12378194115.882967
GBR,Haute technologie,224649113.89825,177968351.34471262,-46680762.5535374,0.7922058905841914,2530160235695.433
GEO,Haute technologie,1533301.506,843274.9206638171,-690026.585336183,0.5499733205530531,11014451748.02854
GHA,Haute technologie,1300414.6085,2421094.445448385,1120679.836948385,1.8617865637798892,31720361284.931545
GIN,Haute technologie,539289.66425,485502.180515305,-53787.48373469501,0.9002623500869459,6319630585.273155
GMB,Haute technologie,3752.0139999999997,103022.01378697275,99269.99978697275,27.457790345924284,1201431426.885402
GNQ,Haute technologie,168762.037,1225914.7385958664,1057152.7015958664,7.26416177706996,12160148834.519697
GRC,Haute technologie,3189382.4837499997,19768743.733454727,16579361.249704726,6.198298207937453,237332329334.94003
GRD,Haute technologie,680703.622,63438.20299945237,-617265.4190005476,0.09319504252535382,789267629.6296299
GTM,Haute technologie,3203224.70625,2553199.7505313004,-650024.9557186994,0.7970716963907035,42712790935.52229
HKG,Haute technologie,88149153.4735,22230067.98840187,-65919085.48509812,0.25218697074708524,236815011643.94193
HND,Haute technologie,938771.6825,906724.0876558169,-32047.59484418307,0.9658622054312093,14774507531.168861
HRV,Haute technologie,2834870.1210000003,3787833.8247762383,952963.703776238,1.336157800216992,49931617150.77174
HTI,Haute technologie,1449190.111,411832.4420995844,-1037357.6689004157,0.28418110155016396,6297876005.777707
HUN,Haute technologie,9704134.48925,8491315.042952001,-1212819.4462979995,0.8750203382237199,118055660866.39555
IDN,Haute technologie,11761493.649750002,44101326.42715057,32339832.777400568,3.7496365462126464,598147522476.3346
IND,Haute technologie,63928151.11975,89762645.48663129,25834494.36688129,1.4041176526204895,1436364681977.5505
IRL,Haute technologie,14801510.32,19256640.72981037,4455130.409810368,1.3009916092002136,232162097674.95697
IRN,Haute technologie,5770982.5735,22758161.17792064,16987178.60442064,3.9435504938837846,344534721003.3674
IRQ,Haute technologie,5397910.45275,10545575.92988085,5147665.47713085,1.9536403988525484,151164645688.28207
ISL,Haute technologie,3332975.94825,1356156.5358218674,-1976819.4124281325,0.4068905857343273,16008018592.843403
ISR,Haute technologie,28430771.559,39993611.33392763,11562839.774927631,1.4067015821548225,223326660613.80545
ITA,Haute technologie,111561070.77175,139891340.17005935,28330269.39830935,1.2539440434044602,1901610632648.8
JAM,Haute technologie,4259832.42125,929394.2685870307,-3330438.152662969,0.2181762512418999,12552978795.89915
JOR,Haute technologie,5308607.852,2052197.8530175423,-3256409.9989824574,0.38657928975567174,24163766903.15655
JPN,Haute technologie,154089367.15825,328438299.3555605,174348932.19731048,2.131479318869899,4939560442460.044
KAZ,Haute technologie,9395161.373750001,8768862.772717284,-626298.6010327172,0.933338175245974,121333128361.47089
KEN,Haute technologie,3082023.6302500004,3162484.874050832,80461.2438008315,1.026106627804896,40423708289.42675
KGZ,Haute technologie,261840.03175000002,352704.38765987847,90864.35590987845,1.3470223987622871,4697127557.68083
KHM,Haute technologie,405611.26725000003,975021.7609843472,569410.4937343472,2.40383302859136,11573241535.360514
KOR,Haute technologie,90852409.5705,84204162.02748363,-6648247.543016374,0.9268236519598587,1066859287447.412
KWT,Haute technologie,10793678.22325,10339195.090022786,-454483.1332272142,0.9578935814254459,107055218638.69104
LAO,Haute technologie,107918.66675,690851.5614730078,582932.8947230078,6.4015946664112,7769370123.947354
LBN,Haute technologie,2751773.2865,3067621.086058369,315847.799558369,1.1147797317125998,34607492062.86811
LBR,Haute technologie,230448.93725,163918.23913465053,-66530.69811534946,0.7112996097561762,1979962157.8947368
